last_name,first_name,middle_name,suffix,full_name,birthday,gender,type,state,party,district
Rounds,Mike,,,Mike Rounds,1954-10-24,M,sen,SD,Republican,
Sasse,Benjamin,Eric,,Ben Sasse,1972-02-22,M,sen,NE,Republican,
Kelly,Trent,,,Trent Kelly,1966-03-01,M,rep,MS,Republican,1.0
LaHood,Darin,,,Darin LaHood,1968-07-05,M,rep,IL,Republican,18.0
Davidson,Warren,,,Warren Davidson,1970-03-01,M,rep,OH,Republican,8.0
Comer,James,,,James Comer,1972-08-19,M,rep,KY,Republican,1.0
Evans,Dwight,,,Dwight Evans,1954-05-16,M,rep,PA,Democrat,3.0
Kennedy,John,Neely,,John Kennedy,1951-11-21,M,sen,LA,Republican,
Hassan,Margaret,Wood,,Margaret Wood Hassan,1958-02-27,F,sen,NH,Democrat,
Cortez Masto,Catherine,,,Catherine Cortez Masto,1964-03-29,F,sen,NV,Democrat,
Schneider,Bradley,Scott,,Bradley Scott Schneider,1961-08-20,M,rep,IL,Democrat,10.0
O'Halleran,Tom,,,Tom O’Halleran,1946-01-24,M,rep,AZ,Democrat,1.0
Biggs,Andy,,,Andy Biggs,1958-11-07,M,rep,AZ,Republican,5.0
Khanna,Ro,,,Ro Khanna,1976-09-13,M,rep,CA,Democrat,17.0
Panetta,Jimmy,,,Jimmy Panetta,1969-10-01,M,rep,CA,Democrat,20.0
Carbajal,Salud,O.,,Salud O. Carbajal,1964-11-18,M,rep,CA,Democrat,24.0
Barragán,Nanette,Diaz,,Nanette Diaz Barragán,1976-09-15,F,rep,CA,Democrat,44.0
Correa,J.,Luis,,J. Luis Correa,1958-01-24,M,rep,CA,Democrat,46.0
Blunt Rochester,Lisa,,,Lisa Blunt Rochester,1962-02-10,F,rep,DE,Democrat,0.0
Gaetz,Matt,,,Matt Gaetz,1982-05-07,M,rep,FL,Republican,1.0
Dunn,Neal,P.,,Neal P. Dunn,1953-02-16,M,rep,FL,Republican,2.0
Rutherford,John,H.,,John H. Rutherford,1952-09-02,M,rep,FL,Republican,4.0
Lawson,Al,,Jr.,"Al Lawson, Jr.",1948-09-23,M,rep,FL,Democrat,5.0
Murphy,Stephanie,N.,,Stephanie N. Murphy,1978-09-16,F,rep,FL,Democrat,7.0
Soto,Darren,,,Darren Soto,1978-02-25,M,rep,FL,Democrat,9.0
Demings,Val,Butler,,Val Butler Demings,1957-03-12,F,rep,FL,Democrat,10.0
Crist,Charlie,,,Charlie Crist,1956-07-24,M,rep,FL,Democrat,13.0
Mast,Brian,J.,,Brian J. Mast,1980-07-10,M,rep,FL,Republican,18.0
Ferguson,A.,Drew,IV,A. Drew Ferguson IV,1966-11-15,M,rep,GA,Republican,3.0
Krishnamoorthi,Raja,,,Raja Krishnamoorthi,1973-07-19,M,rep,IL,Democrat,8.0
Banks,Jim,,,Jim Banks,1979-07-16,M,rep,IN,Republican,3.0
Hollingsworth,Trey,,,Trey Hollingsworth,1983-09-12,M,rep,IN,Republican,9.0
Marshall,Roger,,,Roger Marshall,1960-08-09,M,sen,KS,Republican,
Higgins,Clay,,,Clay Higgins,1961-08-24,M,rep,LA,Republican,3.0
Johnson,Mike,,,Mike Johnson,1972-01-30,M,rep,LA,Republican,4.0
Brown,Anthony,G.,,Anthony G. Brown,1961-11-21,M,rep,MD,Democrat,4.0
Raskin,Jamie,,,Jamie Raskin,1962-12-13,M,rep,MD,Democrat,8.0
Bergman,Jack,,,Jack Bergman,1947-02-02,M,rep,MI,Republican,1.0
Budd,Ted,,,Ted Budd,1971-10-21,M,rep,NC,Republican,13.0
Bacon,Don,,,Don Bacon,1963-08-16,M,rep,NE,Republican,2.0
Gottheimer,Josh,,,Josh Gottheimer,1975-03-08,M,rep,NJ,Democrat,5.0
Rosen,Jacky,,,Jacky Rosen,1957-08-02,F,sen,NV,Democrat,
Suozzi,Thomas,R.,,Thomas R. Suozzi,1962-08-31,M,rep,NY,Democrat,3.0
Espaillat,Adriano,,,Adriano Espaillat,1954-09-27,M,rep,NY,Democrat,13.0
Fitzpatrick,Brian,K.,,Brian K. Fitzpatrick,1973-12-17,M,rep,PA,Republican,1.0
Smucker,Lloyd,,,Lloyd Smucker,1964-01-23,M,rep,PA,Republican,11.0
González-Colón,Jenniffer,,,Jenniffer González-Colón,1976-08-05,F,rep,PR,Republican,0.0
Kustoff,David,,,David Kustoff,1966-10-08,M,rep,TN,Republican,8.0
Gonzalez,Vicente,,,Vicente Gonzalez,1967-09-04,M,rep,TX,Democrat,15.0
Arrington,Jodey,C.,,Jodey C. Arrington,1972-03-09,M,rep,TX,Republican,19.0
McEachin,A.,Donald,,A. Donald McEachin,1961-10-10,M,rep,VA,Democrat,4.0
Jayapal,Pramila,,,Pramila Jayapal,1965-09-21,F,rep,WA,Democrat,7.0
Gallagher,Mike,,,Mike Gallagher,1984-03-03,M,rep,WI,Republican,8.0
Cheney,Liz,,,Liz Cheney,1966-07-28,F,rep,WY,Republican,0.0
Estes,Ron,,,Ron Estes,1956-07-19,M,rep,KS,Republican,4.0
Norman,Ralph,,,Ralph Norman,1953-06-20,M,rep,SC,Republican,5.0
Gomez,Jimmy,,,Jimmy Gomez,1974-11-25,M,rep,CA,Democrat,34.0
Curtis,John,R.,,John R. Curtis,1960-05-10,M,rep,UT,Republican,3.0
Smith,Tina,Flint,,Tina Smith,1958-03-04,F,sen,MN,Democrat,
Hyde-Smith,Cindy,,,Cindy Hyde-Smith,1959-05-10,F,sen,MS,Republican,
Lamb,Conor,,,Conor Lamb,1984-06-27,M,rep,PA,Democrat,17.0
Lesko,Debbie,,,Debbie Lesko,1958-11-14,F,rep,AZ,Republican,8.0
Cloud,Michael,,,Michael Cloud,1975-05-13,M,rep,TX,Republican,27.0
Balderson,Troy,,,Troy Balderson,1962-01-16,M,rep,OH,Republican,12.0
Hern,Kevin,R.,,Kevin Hern,1961-12-04,M,rep,OK,Republican,1.0
Morelle,Joseph,D.,,Joseph D. Morelle,1957-04-29,M,rep,NY,Democrat,25.0
Scanlon,Mary,Gay,,Mary Gay Scanlon,1959-08-30,F,rep,PA,Democrat,5.0
Wild,Susan,Ellis,,Susan Wild,1957-06-07,F,rep,PA,Democrat,7.0
Case,Ed,,,Ed Case,1952-09-27,M,rep,HI,Democrat,1.0
Horsford,Steven,A.,,Steven Horsford,1973-04-29,M,rep,NV,Democrat,4.0
Kirkpatrick,Ann,,,Ann Kirkpatrick,1950-03-24,F,rep,AZ,Democrat,2.0
Stanton,Greg,,,Greg Stanton,1970-03-08,M,rep,AZ,Democrat,9.0
Harder,Josh,,,Josh Harder,1986-08-01,M,rep,CA,Democrat,10.0
Porter,Katie,,,Katie Porter,1974-01-03,F,rep,CA,Democrat,45.0
Levin,Mike,,,Mike Levin,1978-10-28,M,rep,CA,Democrat,49.0
Neguse,Joe,,,Joe Neguse,1984-05-13,M,rep,CO,Democrat,2.0
Crow,Jason,,,Jason Crow,1979-03-15,M,rep,CO,Democrat,6.0
Hayes,Jahana,,,Jahana Hayes,1973-03-08,F,rep,CT,Democrat,5.0
Waltz,Michael,,,Michael Waltz,1974-01-31,M,rep,FL,Republican,6.0
Steube,W.,Gregory,,W. Gregory Steube,1978-05-19,M,rep,FL,Republican,17.0
McBath,Lucy,,,Lucy McBath,1960-06-01,F,rep,GA,Democrat,6.0
San Nicolas,Michael,F. Q.,,Michael F. Q. San Nicolas,1981-01-30,M,rep,GU,Democrat,0.0
Axne,Cynthia,,,Cynthia Axne,1965-04-20,F,rep,IA,Democrat,3.0
Fulcher,Russ,,,Russ Fulcher,1973-07-19,M,rep,ID,Republican,1.0
García,Jesús,G.,,"Jesús G. ""Chuy"" García",1956-04-12,M,rep,IL,Democrat,4.0
Casten,Sean,,,Sean Casten,1971-11-23,M,rep,IL,Democrat,6.0
Underwood,Lauren,,,Lauren Underwood,1986-10-04,F,rep,IL,Democrat,14.0
Baird,James,R.,,James R. Baird,1945-06-04,M,rep,IN,Republican,4.0
Pence,Greg,,,Greg Pence,1956-11-14,M,rep,IN,Republican,6.0
Davids,Sharice,,,Sharice Davids,1980-05-22,F,rep,KS,Democrat,3.0
Trahan,Lori,,,Lori Trahan,1973-10-27,F,rep,MA,Democrat,3.0
Pressley,Ayanna,,,Ayanna Pressley,1974-02-03,F,rep,MA,Democrat,7.0
Trone,David,J.,,David J. Trone,1955-09-21,M,rep,MD,Democrat,6.0
Slotkin,Elissa,,,Elissa Slotkin,1976-07-10,F,rep,MI,Democrat,8.0
Levin,Andy,,,Andy Levin,1960-08-01,M,rep,MI,Democrat,9.0
Stevens,Haley,M.,,Haley M. Stevens,1983-06-24,F,rep,MI,Democrat,11.0
Tlaib,Rashida,,,Rashida Tlaib,1976-07-24,F,rep,MI,Democrat,13.0
Craig,Angie,,,Angie Craig,1972-02-14,F,rep,MN,Democrat,2.0
Phillips,Dean,,,Dean Phillips,1969-01-20,M,rep,MN,Democrat,3.0
Omar,Ilhan,,,Ilhan Omar,1981-10-04,F,rep,MN,Democrat,5.0
Stauber,Pete,,,Pete Stauber,1966-05-10,M,rep,MN,Republican,8.0
Guest,Michael,,,Michael Guest,1970-02-04,M,rep,MS,Republican,3.0
Armstrong,Kelly,,,Kelly Armstrong,1976-10-08,M,rep,ND,Republican,0.0
Pappas,Chris,,,Chris Pappas,1980-06-04,M,rep,NH,Democrat,1.0
Van Drew,Jefferson,,,Jefferson Van Drew,1953-02-23,M,rep,NJ,Republican,2.0
Kim,Andy,,,Andy Kim,1982-07-12,M,rep,NJ,Democrat,3.0
Malinowski,Tom,,,Tom Malinowski,1965-09-23,M,rep,NJ,Democrat,7.0
Sherrill,Mikie,,,Mikie Sherrill,1972-01-19,F,rep,NJ,Democrat,11.0
Lee,Susie,,,Susie Lee,1966-11-07,F,rep,NV,Democrat,3.0
Ocasio-Cortez,Alexandria,,,Alexandria Ocasio-Cortez,1989-10-13,F,rep,NY,Democrat,14.0
Gonzalez,Anthony,,,Anthony Gonzalez,1984-09-19,M,rep,OH,Republican,16.0
Dean,Madeleine,,,Madeleine Dean,1959-06-06,F,rep,PA,Democrat,4.0
Houlahan,Chrissy,,,Chrissy Houlahan,1967-06-05,F,rep,PA,Democrat,6.0
Meuser,Daniel,,,Daniel Meuser,1964-02-10,M,rep,PA,Republican,9.0
Joyce,John,,,John Joyce,1957-02-08,M,rep,PA,Republican,13.0
Reschenthaler,Guy,,,Guy Reschenthaler,1983-04-17,M,rep,PA,Republican,14.0
Timmons,William,R.,,William R. Timmons IV,1984-04-30,M,rep,SC,Republican,4.0
Johnson,Dusty,,,Dusty Johnson,1976-09-30,M,rep,SD,Republican,0.0
Burchett,Tim,,,Tim Burchett,1964-08-25,M,rep,TN,Republican,2.0
Rose,John,W.,,John Rose,1965-02-23,M,rep,TN,Republican,6.0
Green,Mark,E.,,Mark E. Green,1964-11-08,M,rep,TN,Republican,7.0
Crenshaw,Dan,,,Dan Crenshaw,1984-03-14,M,rep,TX,Republican,2.0
Taylor,Van,,,Van Taylor,1972-08-01,M,rep,TX,Republican,3.0
Gooden,Lance,,,Lance Gooden,1982-12-01,M,rep,TX,Republican,5.0
Fletcher,Lizzie,,,Lizzie Fletcher,1975-02-13,F,rep,TX,Democrat,7.0
Escobar,Veronica,,,Veronica Escobar,1969-09-15,F,rep,TX,Democrat,16.0
Roy,Chip,,,Chip Roy,1972-08-07,M,rep,TX,Republican,21.0
Garcia,Sylvia,R.,,Sylvia R. Garcia,1950-09-06,F,rep,TX,Democrat,29.0
Allred,Colin,Z.,,Colin Z. Allred,1983-04-15,M,rep,TX,Democrat,32.0
Luria,Elaine,G.,,Elaine G. Luria,1975-08-15,F,rep,VA,Democrat,2.0
Cline,Ben,,,Ben Cline,1972-02-29,M,rep,VA,Republican,6.0
Spanberger,Abigail,Davis,,Abigail Davis Spanberger,1979-08-07,F,rep,VA,Democrat,7.0
Wexton,Jennifer,,,Jennifer Wexton,1968-05-27,F,rep,VA,Democrat,10.0
Schrier,Kim,,,Kim Schrier,1968-08-23,F,rep,WA,Democrat,8.0
Steil,Bryan,,,Bryan Steil,1981-03-30,M,rep,WI,Republican,1.0
Miller,Carol,D.,,Carol D. Miller,1950-11-04,F,rep,WV,Republican,3.0
Scott,Rick,,,Rick Scott,1952-12-01,M,sen,FL,Republican,
Braun,Mike,,,Mike Braun,1954-03-24,M,sen,IN,Republican,
Hawley,Joshua,,,Josh Hawley,1979-12-31,M,sen,MO,Republican,
Romney,Mitt,,,Mitt Romney,1947-03-12,M,sen,UT,Republican,
Golden,Jared,Forrest,,Jared F. Golden,1982-07-25,M,rep,ME,Democrat,2.0
Keller,Fred,,,Fred Keller,1965-10-23,M,rep,PA,Republican,12.0
Bishop,Dan,,,Dan Bishop,1964-07-01,M,rep,NC,Republican,9.0
Murphy,Gregory,Francis,,Gregory F. Murphy,1963-03-05,M,rep,NC,Republican,3.0
Mfume,Kweisi,,,Kweisi Mfume,1948-10-24,M,rep,MD,Democrat,7.0
Tiffany,Thomas,P.,,Thomas P. Tiffany,1957-12-30,M,rep,WI,Republican,7.0
Garcia,Mike,,,Mike Garcia,1976-04-24,M,rep,CA,Republican,25.0
Jacobs,Chris,,,Chris Jacobs,1966-11-28,M,rep,NY,Republican,27.0
Kelly,Mark,,,Mark Kelly,1964-02-21,M,sen,AZ,Democrat,
Lummis,Cynthia,M.,,Cynthia M. Lummis,1954-09-10,F,sen,WY,Republican,
Issa,Darrell,E.,,Darrell Issa,1953-11-01,M,rep,CA,Republican,50.0
Sessions,Pete,A.,,Pete Sessions,1955-03-22,M,rep,TX,Republican,17.0
Valadao,David,G.,,David G. Valadao,1977-04-14,M,rep,CA,Republican,21.0
Tuberville,Tommy,Hawley,,Tommy Tuberville,1954-09-18,M,sen,AL,Republican,
Hickenlooper,John,Wright,,John W. Hickenlooper,1952-02-07,M,sen,CO,Democrat,
Hagerty,Bill,Francis,,Bill Hagerty,1959-08-14,M,sen,TN,Republican,
Carl,Jerry,Lee,Jr.,Jerry L. Carl,1958-06-17,M,rep,AL,Republican,1.0
Moore,Barry,,,Barry Moore,1966-09-26,M,rep,AL,Republican,2.0
Obernolte,Jay,Phillip,,Jay Obernolte,1970-08-18,M,rep,CA,Republican,8.0
Kim,Young,Oak,,Young Kim,1962-10-18,F,rep,CA,Republican,39.0
Steel,Michelle,Eunjoo,,Michelle Steel,1955-06-21,F,rep,CA,Republican,48.0
Jacobs,Sara,,,Sara Jacobs,1989-02-01,F,rep,CA,Democrat,53.0
Boebert,Lauren,Opal,,Lauren Boebert,1986-12-15,F,rep,CO,Republican,3.0
Cammack,Katherine,,,Kat Cammack,1988-02-16,F,rep,FL,Republican,3.0
Franklin,C.,Scott,,C. Scott Franklin,1964-08-23,M,rep,FL,Republican,15.0
Donalds,Byron,Lowell,,Byron Donalds,1978-10-28,M,rep,FL,Republican,19.0
Gimenez,Carlos,A.,,Carlos A. Gimenez,1954-01-17,M,rep,FL,Republican,26.0
Salazar,Maria,Elvira,,Maria Elvira Salazar,1961-11-01,M,rep,FL,Republican,27.0
Williams,Nikema,Natassha,,Nikema Williams,1978-07-30,F,rep,GA,Democrat,5.0
Bourdeaux,Carolyn,,,Carolyn Bourdeaux,1970-06-03,F,rep,GA,Democrat,7.0
Clyde,Andrew,S.,,Andrew S. Clyde,1963-11-22,M,rep,GA,Republican,9.0
Greene,Marjorie,Taylor,,Marjorie Taylor Greene,1974-05-27,F,rep,GA,Republican,14.0
Kahele,Kaialiʻi,,,Kaiali’i Kahele,1974-03-28,M,rep,HI,Democrat,2.0
Hinson,Ashley,,,Ashley Hinson,1983-06-27,F,rep,IA,Republican,1.0
Miller-Meeks,Mariannette,Jane,,Mariannette Miller-Meeks,1955-09-06,F,rep,IA,Republican,2.0
Feenstra,Randy,L.,,Randy Feenstra,1969-01-14,M,rep,IA,Republican,4.0
Newman,Marie,,,Marie Newman,1964-04-13,F,rep,IL,Democrat,3.0
Miller,Mary,E.,,Mary E. Miller,1959-08-27,F,rep,IL,Republican,15.0
Mrvan,Frank,John,,Frank J. Mrvan,1969-04-16,M,rep,IN,Democrat,1.0
Spartz,Victoria,,,Victoria Spartz,1978-10-06,F,rep,IN,Republican,5.0
Mann,Tracey,Robert,,Tracey Mann,1976-12-17,M,rep,KS,Republican,1.0
LaTurner,Jacob,,,Jake LaTurner,1988-02-17,M,rep,KS,Republican,2.0
Auchincloss,Jake,Daniel,,Jake Auchincloss,1988-01-29,M,rep,MA,Democrat,4.0
Meijer,Peter,James,,Peter Meijer,1988-01-10,M,rep,MI,Republican,3.0
McClain,Lisa,C.,,Lisa C. McClain,1966-04-07,F,rep,MI,Republican,10.0
Fischbach,Michelle,Louise Helene,,Michelle Fischbach,1965-11-03,F,rep,MN,Republican,7.0
Bush,Cori,,,Cori Bush,1976-07-21,F,rep,MO,Democrat,1.0
Rosendale,Matthew,Martin,Sr.,"Matthew M. Rosendale, Sr.",1960-07-07,M,rep,MT,Republican,0.0
Ross,Deborah,Koff,,Deborah K. Ross,1963-06-20,F,rep,NC,Democrat,2.0
Manning,Kathy,Ellen,,Kathy E. Manning,1956-12-03,F,rep,NC,Democrat,6.0
Cawthorn,Madison,,,Madison Cawthorn,1995-08-01,M,rep,NC,Republican,11.0
Herrell,Yvette,,,Yvette Herrell,1964-03-16,F,rep,NM,Republican,2.0
Leger Fernandez,Teresa,,,Teresa Leger Fernandez,1959-07-01,F,rep,NM,Democrat,3.0
Garbarino,Andrew,R.,,Andrew R. Garbarino,1984-09-27,M,rep,NY,Republican,2.0
Malliotakis,Nicole,,,Nicole Malliotakis,1980-11-11,F,rep,NY,Republican,11.0
Torres,Ritchie,John,,Ritchie Torres,1988-03-12,M,rep,NY,Democrat,15.0
Bowman,Jamaal,,,Jamaal Bowman,1976-04-01,M,rep,NY,Democrat,16.0
Jones,Mondaire,,,Mondaire Jones,1987-05-18,M,rep,NY,Democrat,17.0
Bice,Stephanie,I.,,Stephanie I. Bice,1973-11-11,F,rep,OK,Republican,5.0
Bentz,Cliff,Stewart,,Cliff Bentz,1952-01-12,M,rep,OR,Republican,2.0
Mace,Nancy,Ruth,,Nancy Mace,1977-12-04,F,rep,SC,Republican,1.0
Harshbarger,Diana,,,Diana Harshbarger,1960-01-01,F,rep,TN,Republican,1.0
Fallon,Patrick,Edward,,Pat Fallon,1967-12-19,M,rep,TX,Republican,4.0
Pfluger,August,Lee,II,August Pfluger,1978-12-28,M,rep,TX,Republican,11.0
Jackson,Ronny,Lynn,,Ronny Jackson,1967-05-04,M,rep,TX,Republican,13.0
Nehls,Troy,E.,,Troy E. Nehls,1968-04-07,M,rep,TX,Republican,22.0
Gonzales,Ernest,Anthony,,Tony Gonzales,1980-10-10,M,rep,TX,Republican,23.0
Van Duyne,Beth,Ann,,Beth Van Duyne,1970-11-16,F,rep,TX,Republican,24.0
Moore,Blake,David,,Blake D. Moore,1980-06-22,M,rep,UT,Republican,1.0
Owens,Clarence,,,Burgess Owens,1951-08-02,M,rep,UT,Republican,4.0
Good,Robert,G.,,Bob Good,1965-09-11,M,rep,VA,Republican,5.0
Strickland,Marilyn,,,Marilyn Strickland,1962-09-25,F,rep,WA,Democrat,10.0
Fitzgerald,Scott,L.,,Scott Fitzgerald,1963-11-16,M,rep,WI,Republican,5.0
Padilla,Alejandro,,,Alex Padilla,1973-03-22,M,sen,CA,Democrat,
Ossoff,Jon,,,Jon Ossoff,1987-02-16,M,sen,GA,Democrat,
Warnock,Raphael,Gamaliel,,Raphael G. Warnock,1969-07-23,M,sen,GA,Democrat,
Tenney,Claudia,,,Claudia Tenney,1961-02-04,F,rep,NY,Republican,22.0
Letlow,Julia,,,Julia Letlow,1981-03-16,F,rep,LA,Republican,5.0
Carter,Troy,Anthony,,Troy A. Carter,1963-10-26,M,rep,LA,Democrat,2.0
Stansbury,Melanie,Ann,,Melanie A. Stansbury,1979-01-31,F,rep,NM,Democrat,1.0
Ellzey,Jake,,,Jake Ellzey,1970-01-24,M,rep,TX,Republican,6.0
Brown,Shontel,M.,,Shontel M. Brown,1975-06-24,F,rep,OH,Democrat,11.0
Carey,Mike,,,Mike Carey,1971-03-13,M,rep,OH,Republican,15.0
Cherfilus-McCormick,Sheila,,,Sheila Cherfilus-McCormick,1979-01-25,F,rep,FL,Democrat,20.0
Conway,Connie,,,Connie Conway,1950-09-25,F,rep,CA,Republican,22.0
Flores,Mayra,,,Mayra Flores,1986-01-01,F,rep,TX,Republican,34.0
Flood,Mike,,,,1975-02-23,M,rep,NE,Republican,1.0
Stringfellow,Douglas,R.,,,1922-09-24,M,rep,UT,Republican,1.0
Young,Clarence,Clifton,,,1922-11-07,M,rep,NV,Republican,0.0
Hillings,Patrick,Jerome,,,1923-02-19,M,rep,CA,Republican,25.0
May,Edwin,Hyland,Jr.,,1924-05-28,M,rep,CT,Republican,1.0
McIntosh,Robert,John,,,1922-09-16,M,rep,MI,Republican,7.0
Holt,Joseph,Franklin,III,,1924-07-06,M,rep,CA,Republican,22.0
Mitchell,Harlan,Erwin,,,1924-08-17,M,rep,GA,Democrat,7.0
Wolf,Leonard,George,,,1925-10-29,M,rep,IA,Democrat,2.0
Coad,Merwin,,,,1924-09-28,M,rep,IA,Democrat,6.0
Garland,Peter,Adams,,,1923-06-16,M,rep,ME,Republican,1.0
McSween,Harold,Barnett,,,1926-07-19,M,rep,LA,Democrat,8.0
McVey,Walter,Lewis,Jr.,,1922-02-19,M,rep,KS,Republican,3.0
Murphy,Maurice,J.,Jr.,,1927-10-03,M,sen,NH,Republican,
Brewster,Daniel,Baugh,,,1923-11-23,M,sen,MD,Democrat,
Edmondson,James,Howard,,,1925-09-27,M,sen,OK,Democrat,
Gill,Thomas,Ponce,,,1922-04-21,M,rep,HI,Democrat,1.0
Harding,Ralph,R.,,,1929-09-09,M,rep,ID,Democrat,2.0
Martin,Patrick,Minor,,,1924-11-25,M,rep,CA,Republican,38.0
Stinson,K.,William,,,1930-04-20,M,rep,WA,Republican,7.0
Salinger,Pierre,Emil George,,,1925-06-14,M,sen,CA,Democrat,
Bandstra,Bert,Andrew,,,1922-01-25,M,rep,IA,Democrat,4.0
Callaway,Howard,Hollis,,,1927-04-02,M,rep,GA,Republican,3.0
Cameron,Ronald,Brooks,,,1927-08-16,M,rep,CA,Democrat,25.0
Clevenger,Raymond,Francis,,,1926-06-06,M,rep,MI,Democrat,11.0
Craley,Nathaniel,Neiman,Jr.,,1927-11-17,M,rep,PA,Democrat,19.0
Ellsworth,Robert,Fred,,,1926-06-11,M,rep,KS,Republican,3.0
Grabowski,Bernard,Francis,,,1923-06-11,M,rep,CT,Democrat,6.0
Greigg,Stanley,Lloyd,,,1931-05-07,M,rep,IA,Democrat,6.0
Johnson,Jed,Joseph,Jr.,,1939-12-27,M,rep,OK,Democrat,6.0
Kennedy,Robert,Francis,,,1925-11-20,M,sen,NY,Democrat,
McGrath,Thomas,Charles,Jr.,,1927-04-22,M,rep,NJ,Democrat,2.0
McVicker,Roy,Harrison,,,1924-02-20,M,rep,CO,Democrat,2.0
Olson,Alec,Gehard,,,1930-09-11,M,rep,MN,Democrat,6.0
Schisler,Darwin,Gale,,,1933-03-02,M,rep,IL,Democrat,19.0
Schmidhauser,John,Richard,,,1922-01-03,M,rep,IA,Democrat,1.0
Sweeney,Robert,E.,,,1924-11-04,M,rep,OH,Democrat,0.0
Tydings,Joseph,Davies,,,1928-05-04,M,sen,MD,Democrat,
Vivian,Weston,Edward,,,1924-10-25,M,rep,MI,Democrat,2.0
Weltner,Charles,Longstreet,,,1927-12-17,M,rep,GA,Democrat,5.0
Gardner,James,Carson,,,1933-04-08,M,rep,NC,Republican,4.0
Harris,Fred,Roy,,,1930-11-13,M,sen,OK,Democrat,
Irwin,Donald,Jay,,,1926-09-07,M,rep,CT,Democrat,4.0
Kornegay,Horace,Robinson,,,1924-03-12,M,rep,NC,Democrat,6.0
Moore,Arch,Alfred,Jr.,,1923-04-16,M,rep,WV,Republican,1.0
Resnick,Joseph,Yale,,,1924-07-13,M,rep,NY,Democrat,28.0
Smith,James,Vernon,,,1926-07-23,M,rep,OK,Republican,6.0
Cook,Marlow,Webster,,,1926-07-27,M,sen,KY,Republican,
Goodell,Charles,Ellsworth,,,1926-03-16,M,sen,NY,Republican,
Battin,James,Franklin,,,1925-02-13,M,rep,MT,Republican,2.0
Burton,Laurence,Junior,,,1926-10-30,M,rep,UT,Republican,1.0
Cramer,William,Cato,,,1922-08-04,M,rep,FL,Republican,8.0
Foreman,Edgar,Franklin,,,1933-12-22,M,rep,NM,Republican,2.0
Hughes,Harold,Everett,,,1922-02-10,M,sen,IA,Democrat,
Laird,Melvin,Robert,,,1922-09-01,M,rep,WI,Republican,7.0
Lowenstein,Allard,Kenneth,,,1929-01-16,M,rep,NY,Democrat,5.0
MacGregor,Clark,,,,1922-07-12,M,rep,MN,Republican,3.0
Marsh,John,Otho,Jr.,,1926-08-07,M,rep,VA,Democrat,7.0
McCarthy,Richard,Dean,,,1927-09-24,M,rep,NY,Democrat,39.0
Meskill,Thomas,Joseph,,,1928-01-30,M,rep,CT,Republican,6.0
Reinecke,Edwin,,,,1924-01-07,M,rep,CA,Republican,27.0
Rumsfeld,Donald,Henry,,,1932-07-09,M,rep,IL,Republican,13.0
Watson,Albert,William,,,1922-08-30,M,rep,SC,Republican,2.0
Beall,John,Glenn,Jr.,,1927-06-19,M,sen,MD,Republican,
Begich,Nicholas,Joseph,,,1932-04-06,M,rep,AK,Democrat,0.0
Blanton,Leonard,Ray,,,1930-04-10,M,rep,TN,Democrat,7.0
Brock,William,Emerson,III,,1930-11-23,M,sen,TN,Republican,
Buckley,James,Lane,,,1923-03-09,M,sen,NY,Conservative,
Caffery,Patrick,Thomson,,,1932-07-06,M,rep,LA,Democrat,3.0
Conover,William,Sheldrick,II,,1928-08-27,M,rep,PA,Republican,27.0
Curlin,William,Prather,Jr.,,1933-11-30,M,rep,KY,Democrat,6.0
Edwards,Edwin,Washington,,,1927-08-07,M,rep,LA,Democrat,7.0
Galifianakis,Nick,,,,1928-07-22,M,rep,NC,Democrat,4.0
Gambrell,David,Henry,,,1929-12-20,M,sen,GA,Democrat,
Griffin,Charles,Hudson,,,1926-05-09,M,rep,MS,Democrat,3.0
Long,Speedy,Oteria,,,1928-06-16,M,rep,LA,Democrat,8.0
McDonald,Jack,H.,,,1932-06-28,M,rep,MI,Republican,19.0
McKevitt,James,Douglas,,,1928-10-26,M,rep,CO,Republican,1.0
Poff,Richard,Harding,,,1923-10-19,M,rep,VA,Republican,6.0
Ryan,William,Fitts,,,1922-06-28,M,rep,NY,Democrat,20.0
Schmitz,John,George,,,1930-08-12,M,rep,CA,Republican,35.0
Terry,John,Hart,,,1924-11-14,M,rep,NY,Republican,34.0
Thompson,Standish,Fletcher,,,1925-02-05,M,rep,GA,Republican,5.0
Tunney,John,Varick,,,1934-06-26,M,sen,CA,Democrat,
Edwards,Elaine,Schwartzenburg,,,1929-03-08,F,sen,LA,Democrat,
Abourezk,James,George,,,1931-02-24,M,sen,SD,Democrat,
Blackburn,Benjamin,Bentley,,,1927-02-14,M,rep,GA,Republican,4.0
Brasco,Frank,James,,,1932-10-15,M,rep,NY,Democrat,11.0
Brotzman,Donald,Glenn,,,1922-06-28,M,rep,CO,Republican,2.0
Clark,Richard,Clarence,,,1928-09-14,M,sen,IA,Democrat,
Collins,George,Washington,,,1925-03-05,M,rep,IL,Democrat,6.0
Cronin,Paul,William,,,1938-03-14,M,rep,MA,Republican,5.0
Denholm,Frank,Edward,,,1923-11-29,M,rep,SD,Democrat,1.0
Froehlich,Harold,Vernon,,,1932-05-12,M,rep,WI,Republican,8.0
Griffin,Robert,Paul,,,1923-11-06,M,sen,MI,Republican,
Gunter,William,Dawson,Jr.,,1934-07-16,M,rep,FL,Democrat,5.0
