,transaction_date,ticker,asset_description,type,amount,name,disclosure_date,chamber,first_name,last_name,party,birthday,gender,represents
990,2020-12-30,TSLA,"Tesla, Inc.",purchase,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
991,2020-12-30,PBA,Pembina Pipeline Corporation,sale_full,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
992,2020-12-30,DD,"DuPont de Nemours, Inc.",sale_partial,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
993,2020-12-30,DOW,Dow Inc.,sale_partial,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
994,2020-12-30,VTRS,Viatris Inc.,sale_full,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
995,2020-12-30,NTAP,"NetApp, Inc.",purchase,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
996,2020-12-30,SBIO,ALPS Medical Breakthroughs,purchase,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
997,2020-12-30,BMY,Bristol-Myers Squibb Company,purchase,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
998,2020-12-15,GSMYX,Goldman Sachs Small/Mid Cap Growth Fund Institutio,purchase,15000,Thomas R Carper,2021-01-07,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
999,2020-12-14,AEP,"American Electric Power Company, Inc.",purchase,15000,Gary C Peters,2021-01-05,senate,Gary,Peters,Democrat,1958-12-01,M,MI
1000,2020-12-22,BA,The Boeing Company,purchase,50000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1001,2020-12-22,PLUG,Plug Power Inc.,purchase,15000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1002,2020-12-22,SQ,"Square, Inc.",purchase,50000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1003,2020-12-21,BA,The Boeing Company,purchase,50000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1004,2020-12-21,NVDA,NVIDIA Corporation,purchase,100000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1005,2020-12-21,EXPI,"eXp World Holdings, Inc.",purchase,15000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1006,2020-12-21,ETY,Eaton Vance Tax-Managed Diversified Equity Income,sale_partial,250000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1007,2020-12-21,W,Wayfair Inc.,sale_full,100000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1008,2020-12-21,TSLA,"Tesla, Inc.",sale_full,15000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1009,2020-12-11,TSLA,"Tesla, Inc.",purchase,15000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1010,2020-12-07,BA,The Boeing Company,purchase,50000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1011,2020-12-07,TSLA,"Tesla, Inc.",purchase,15000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1012,2020-12-04,BA,The Boeing Company,sale_full,50000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1013,2020-12-22,COST,Costco Wholesale Corporation,purchase,50000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1014,2020-12-22,AAPL,Apple Inc.,purchase,50000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1015,2020-12-16,AAPL,Apple Inc.,sale_partial,250000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1016,2020-12-02,ZM,"Zoom Video Communications, Inc.",purchase,50000,Pat Roberts,2020-12-31,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1020,2020-11-30,AIV,Apartment Investment and Management Company,purchase,15000,Patrick J Toomey,2020-12-29,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
1021,2020-12-22,CRSP,CRISPR Therapeutics AG,sale_partial,100000,James M Inhofe,2020-12-23,senate,James,Inhofe,Republican,1934-11-17,M,OK
1022,2020-12-15,BLK,"BlackRock, Inc.",sale_partial,100000,James M Inhofe,2020-12-23,senate,James,Inhofe,Republican,1934-11-17,M,OK
1029,2020-11-05,WMT,Walmart Inc.,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1030,2020-11-05,UPS,"United Parcel Service, Inc.",sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1031,2020-11-05,SBUX,Starbucks Corporation,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1032,2020-11-05,PLD,"Prologis, Inc.",sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1033,2020-11-05,PG,The Procter Gamble Company,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1034,2020-11-05,JPM,JPMorgan Chase Co.,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1035,2020-11-05,MSFT,Microsoft Corporation,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1036,2020-11-05,MDT,Medtronic plc,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1037,2020-11-05,LOW,"Lowe's Companies, Inc.",sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1038,2020-11-05,IBM,International Business Machines Corporation,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1039,2020-11-05,DOW,Dow Inc.,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1040,2020-11-05,DIS,The Walt Disney Company,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1041,2020-11-05,CMCSA,Comcast Corporation,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1042,2020-11-05,CSCO,"Cisco Systems, Inc.",sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1043,2020-11-05,CVS,CVS Health Corporation,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1044,2020-11-05,BLK,"BlackRock, Inc.",sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1045,2020-11-05,AAPL,Apple Inc.,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1046,2020-11-05,AMGN,Amgen Inc.,sale_full,15000,William Cassidy,2020-12-08,senate,William,Cassidy,Republican,1957-09-28,M,LA
1047,2020-12-03,WFC,Wells Fargo Company,purchase,15000,A. Mitchell Mcconnell,2020-12-07,senate,Mitchell,McConnell,Republican,1942-02-20,M,KY
1048,2020-11-10,BYND,"Beyond Meat, Inc.",sale_full,100000,Ron L Wyden,2020-12-04,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1049,2020-11-16,BA,The Boeing Company,purchase,50000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1050,2020-11-16,V,Visa Inc.,purchase,50000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1051,2020-11-24,COST,Costco Wholesale Corporation,purchase,50000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1052,2020-11-04,COST,Costco Wholesale Corporation,sale_full,50000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1053,2020-11-09,BA,The Boeing Company,sale_full,50000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1055,2020-11-04,NVDA,NVIDIA Corporation,sale_full,50000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1056,2020-11-17,W,Wayfair Inc.,purchase,50000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1057,2020-11-16,DAL,"Delta Air Lines, Inc.",purchase,15000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1059,2020-11-10,DIS,The Walt Disney Company,purchase,15000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1060,2020-11-09,AAPL,aapl,sale_partial,100000,Pat Roberts,2020-12-03,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1067,2020-11-20,V,Visa Inc.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1068,2020-11-20,QCOM,QUALCOMM Incorporated,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1069,2020-11-20,SNPS,"Synopsys, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1070,2020-11-20,GOLD,Barrick Gold Corporation,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1071,2020-11-20,OHI,"Omega Healthcare Investors, Inc.",sale_full,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1072,2020-11-20,WIW,Western Asset Inflation-Linked Opportunities Inc,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1073,2020-11-20,ERIC,Telefonaktiebolaget LM Ericsson (publ),purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1074,2020-11-20,SBIO,ALPS Medical Breakthroughs,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1075,2020-11-20,ARE,"Alexandria Real Estate Equities, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1076,2020-11-20,LGI,"Lazard Global Total Return and Income Fund, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1077,2020-11-20,ABYIX,Abbey Capital Futures Strategy Fund Class I,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1078,2020-11-20,MRVL,Marvell Technology Group Ltd.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1079,2020-11-20,BRKR,Bruker Corporation,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1080,2020-11-20,MANT,ManTech International Corporation,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1081,2020-11-20,ACIW,"ACI Worldwide, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1082,2020-11-20,SWKS,"Skyworks Solutions, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1083,2020-11-20,NUAN,"Nuance Communications, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1084,2020-11-20,AJRD,"Aerojet Rocketdyne Holdings, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1085,2020-11-20,SRVR,Pacer Benchmark Data Infrastructure Real Estate,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1086,2020-11-20,CONE,CyrusOne Inc.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1087,2020-11-20,CEF,Sprott Physical Gold and Silver Trust,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1088,2020-11-20,WW,"WW International, Inc.",sale_full,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1089,2020-11-20,XAR,SPDR S&amp;P Aerospace Defense,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1090,2020-11-20,GLD,SPDR Gold Shares,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1091,2020-11-20,GMAB,Genmab A/S,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1092,2020-11-20,BAH,Booz Allen Hamilton Holding Corporation,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1093,2020-11-20,LDP,Cohen Steers Limited Duration Preferred and Inco,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1094,2020-11-20,ABBV,AbbVie Inc.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1095,2020-11-20,FDN,First Trust Dow Jones Internet Index Fund,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1096,2020-11-20,HBI,Hanesbrands Inc.,sale_full,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1097,2020-11-20,ATVI,"Activision Blizzard, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1098,2020-11-20,FTNT,"Fortinet, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1099,2020-11-20,RTH,VanEck Vectors Retail,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1100,2020-11-20,NTLA,"Intellia Therapeutics, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1101,2020-11-20,RODM,Hartford Multifactor Developed Markets (ex-US),purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1102,2020-11-20,PTLC,Pacer Trendpilot US Large Cap,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1103,2020-11-20,PTNQ,Pacer Trendpilot 100,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1104,2020-11-20,PTMC,Pacer Trendpilot US Mid Cap,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1105,2020-11-20,DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth F,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1106,2020-11-20,MAXR,Maxar Technologies Inc.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1107,2020-11-20,ARNA,"Arena Pharmaceuticals, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1108,2020-11-20,GBIL,Goldman Sachs Access Treasury 0-1 Year,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1109,2020-11-20,KEYS,"Keysight Technologies, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1110,2020-11-20,PAGS,PagSeguro Digital Ltd.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1111,2020-11-20,CTVA,"Corteva, Inc.",sale_partial,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1112,2020-11-20,VIAV,Viavi Solutions Inc.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1113,2020-11-20,SI,Silvergate Capital Corporation,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1114,2020-11-20,CRWD,"CrowdStrike Holdings, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1115,2020-11-20,DD,"DuPont de Nemours, Inc.",sale_partial,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1116,2020-11-20,DOW,Dow Inc.,sale_partial,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1117,2020-11-20,DDOG,"Datadog, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1118,2020-11-20,EVOP,"EVO Payments, Inc.",purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1119,2020-11-20,AAPL,Apple Inc.,sale_partial,100000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1120,2020-11-20,GLW,Corning Incorporated,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1121,2020-11-20,HAL,Halliburton Company,sale_full,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1122,2020-11-20,PAAS,Pan American Silver Corp.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1123,2020-11-20,TMO,Thermo Fisher Scientific Inc.,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1124,2020-11-20,LUBFX,Lord Abbett Ultra Short Bond Fund Class F,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1125,2020-11-16,RIO,Rio Tinto Group,purchase,15000,Thomas R Carper,2020-12-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1128,2020-10-16,NVDA,NVIDIA Corporation,purchase,15000,Ron L Wyden,2020-11-16,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1129,2020-10-16,WDAY,"Workday, Inc.",purchase,15000,Ron L Wyden,2020-11-16,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1130,2020-10-16,NVDA,NVIDIA Corporation,purchase,15000,Ron L Wyden,2020-11-16,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1131,2020-10-16,WDAY,"Workday, Inc.",purchase,15000,Ron L Wyden,2020-11-16,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1132,2020-10-16,NVDA,NVIDIA Corporation,purchase,15000,Ron L Wyden,2020-11-16,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1133,2020-10-16,WDAY,"Workday, Inc.",purchase,15000,Ron L Wyden,2020-11-16,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1136,2020-10-13,BBY,"Best Buy Co., Inc.",sale_full,15000,Pat Roberts,2020-11-05,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1137,2020-10-13,NVAX,"Novavax, Inc.",sale_full,15000,Pat Roberts,2020-11-05,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1139,2020-10-30,IJR,iShares Core S&amp;P Small-Cap,sale_full,15000,Thomas R Carper,2020-11-02,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1142,2020-09-09,CB,Chubb Limited,sale_full,50000,Sheldon Whitehouse,2020-10-27,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
1143,2020-09-30,TT,Trane Technologies plc,sale_full,50000,Sheldon Whitehouse,2020-10-27,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
1144,2020-09-30,TT,Trane Technologies plc,sale_full,50000,Sheldon Whitehouse,2020-10-27,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
1147,2020-09-11,AAPL,Apple Inc.,sale_partial,15000,William Cassidy,2020-10-13,senate,William,Cassidy,Republican,1957-09-28,M,LA
1148,2020-09-14,NFLX,"Netflix, Inc.",sale_full,15000,Ron L Wyden,2020-10-09,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1149,2020-09-14,NFLX,"Netflix, Inc.",sale_full,15000,Ron L Wyden,2020-10-09,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1150,2020-09-23,NFLX,"Netflix, Inc.",sale_full,15000,Ron L Wyden,2020-10-09,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1153,2020-09-24,LDP,Cohen Steers Limited Duration Preferred and Inco,purchase,15000,Thomas R Carper,2020-10-01,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1154,2020-09-22,LDP,Cohen Steers Limited Duration Preferred and Inco,purchase,15000,Thomas R Carper,2020-10-01,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1155,2020-09-22,WIW,Western Asset Inflation-Linked Opportunities Inc,purchase,15000,Thomas R Carper,2020-10-01,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1156,2020-09-22,ATOAX,Aberdeen Ultra Short Municipal Income Fund Class A,purchase,50000,Thomas R Carper,2020-10-01,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
1157,2020-09-04,BA,The Boeing Company,sale_full,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1158,2020-09-04,WMT,Walmart Inc.,sale_full,15000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1159,2020-09-17,AAPL,Apple Inc.,purchase,15000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1160,2020-09-14,NVDA,NVIDIA Corporation,purchase,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1161,2020-09-11,AAPL,Apple Inc.,purchase,15000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1162,2020-09-09,AAPL,Apple Inc.,purchase,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1163,2020-09-04,NVDA,NVIDIA Corporation,sale_full,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1164,2020-09-04,NFLX,"Netflix, Inc.",purchase,100000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1165,2020-09-04,NVDA,NVIDIA Corporation,purchase,100000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1166,2020-09-04,NFLX,"Netflix, Inc.",sale_full,100000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1167,2020-09-04,BYND,"Beyond Meat, Inc.",sale_full,15000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1168,2020-09-04,NVDA,NVIDIA Corporation,sale_full,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1169,2020-09-03,AAPL,Apple Inc.,purchase,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1170,2020-09-02,AAPL,Apple Inc.,purchase,100000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1171,2020-09-01,TSLA,"Tesla, Inc.",sale_full,100000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1172,2020-09-04,NVDA,NVIDIA Corporation,sale_full,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1173,2020-09-16,W,Wayfair Inc.,purchase,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1174,2020-09-09,AAPL,Apple Inc.,purchase,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1175,2020-09-09,ZM,"Zoom Video Communications, Inc.",purchase,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1176,2020-09-04,MSFT,Microsoft Corporation,sale_full,100000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1177,2020-09-03,MSFT,Microsoft Corporation,purchase,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1178,2020-09-03,AAPL,Apple Inc.,purchase,50000,Pat Roberts,2020-09-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
1190,2020-09-02,W,Wayfair Inc.,sale_full,100000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1191,2020-09-02,AAPL,Apple Inc.,purchase,100000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1192,2020-09-01,AMZN,"Amazon.com, Inc.",purchase,50000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1193,2020-08-27,AAPL,Apple Inc.,purchase,100000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1194,2020-08-27,AMWD,American Woodmark Corporation,sale_full,15000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1195,2020-08-26,IRBT,iRobot Corporation,purchase,15000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1196,2020-08-25,UPS,"United Parcel Service, Inc.",purchase,100000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1197,2020-08-25,FDX,FedEx Corporation,purchase,50000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1198,2020-08-24,W,Wayfair Inc.,purchase,100000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1199,2020-08-24,SQ,"Square, Inc.",purchase,50000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1200,2020-08-24,KR,The Kroger Co.,sale_full,100000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1201,2020-08-24,CLX,The Clorox Company,sale_full,15000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1202,2020-08-24,AMWD,American Woodmark Corporation,purchase,15000,Ron L Wyden,2020-09-24,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
1203,2020-08-19,SBUX,Starbucks Corporation,sale_partial,15000,William Cassidy,2020-09-18,senate,William,Cassidy,Republican,1957-09-28,M,LA
1204,2020-08-19,MSFT,Microsoft Corporation,sale_partial,15000,William Cassidy,2020-09-18,senate,William,Cassidy,Republican,1957-09-28,M,LA
1205,2020-08-19,LOW,"Lowe's Companies, Inc.",sale_partial,15000,William Cassidy,2020-09-18,senate,William,Cassidy,Republican,1957-09-28,M,LA
